src,atl,ewr,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
atl,0.02217056856187291,0.05284280936454837,0.07525083612040086,0.06020066889632107,0.013377926421404682,0.21137123745819467,0.14715719063545152,0.03712374581939832,0.06354515050167224,0.05819397993310967,0.10702341137123746,0.391304347826087,0.06387959866220817,0.06421404682274015,0.3277591973244147,0.013377926421404682,0.09331103678929836,0.12441471571906335,0.013377926421404682,0.006688963210702341,0.08561872909699071,0.026755852842809364,0.15384615384615385,0.09364548494983022,0.22408026755852842,0.09966555183946552,0.033444816053511704,0.006688963210702341,0.08361204013378017
ewr,0.0558528428093639,0.0171371237458194,0.04448160535116942,0.020066889632107024,0.0,0.1431438127090319,0.05351170568561873,0.043478260869565834,0.04816053511705578,0.0,0.0,0.0,0.05551839464883013,0.06120401337792855,0.07725752508361074,0.055518394648831834,0.04581939799330919,0.09698996655518266,0.0458193979933091,0.40468227424749165,0.07023411371237458,0.0,0.006688963210702341,0.06755852842809237,0.10033444816053512,0.06588628762542044,0.013377926421404682,0.026755852842809364,0.07023411371237526
ams,0.10167224080267523,0.06187290969899566,0.014408026755852843,0.1705685618729097,0.05016722408026756,0.14654362416107372,0.23411371237458195,0.0802675585284281,0.052508361204013386,0.3612040133779264,0.016722408026755852,0.20735785953177258,0.05351170568561873,0.12304347826086953,0.04381270903010078,0.04882943143812693,0.13377926421404682,0.09364548494983277,0.06521739130434832,0.056856187290969896,0.046822742474916385,0.12040133779264214,0.10367892976588629,0.07692307692307693,0.14046822742474915,0.06020066889632107,0.12040133779264214,0.15016722408026695,0.09328859060402869
blr,0.05351170568561873,0.0,0.1605351170568562,0.01565886287625418,0.04515050167224125,0.15384615384615385,0.130100334448161,0.033444816053511704,0.22742474916387959,0.0,0.0,0.08695652173913043,13.683098591549296,0.013377926421404682,0.48494983277591974,0.2842809364548495,0.05351170568561873,0.013377926421404682,0.06688963210702341,0.2408026755852843,0.013377926421404682,0.26755852842809363,0.0,0.10033444816053512,0.20033444816053383,0.0,14.12099644128114,0.27424749163879597,0.0
bom,0.06020066889632107,0.0,0.11371237458193979,0.044147157190635854,0.009394648829431439,0.11371237458193979,0.10167224080267596,0.006688963210702341,0.033444816053511704,0.046822742474916385,0.006688963210702341,0.0,14.079136690647482,0.27424749163879597,0.0,0.006688963210702341,0.0,0.033444816053511704,0.0,0.0,0.20735785953177258,0.19732441471571907,0.06688963210702341,0.0,0.19464882943143766,0.35451505016722407,14.035460992907801,0.13377926421404682,0.3210702341137124
cdg,0.23010033444816227,0.138127090301005,0.12702341137123743,0.20066889632107024,0.18729096989966554,0.017190635451505017,0.34782608695652173,0.10738255033557047,0.11561872909698999,0.18729096989966554,0.013422818791946308,0.1939799331103679,0.15436241610738255,0.1291973244147158,0.12408026755852912,0.1270903010033447,0.06688963210702341,0.05351170568561873,0.0451505016722404,0.0,0.07257525083611999,0.013377926421404682,0.006688963210702341,0.0,0.44481605351170567,0.006688963210702341,0.006688963210702341,0.1602006688963222,0.08662207357859492
del,0.020066889632107024,0.033444816053511704,0.25418060200668896,0.04949832775919769,0.04448160535117082,0.3979933110367893,0.016280936454849498,0.006688963210702341,0.006688963210702341,0.0,0.013377926421404682,0.5384615384615384,13.73943661971831,0.0,0.046822742474916385,0.23411371237458195,0.0,0.3311036789297659,0.07357859531772576,0.020066889632107024,0.06688963210702341,0.04013377926421405,0.07023411371237458,0.0,0.24515050167224242,0.006688963210702341,13.87062937062937,0.020066889632107024,0.0
dfw,0.04548494983277607,0.04147157190635511,0.10702341137123746,0.046822742474916385,0.11371237458193979,0.09364548494983277,0.0,0.010066889632107024,0.23411371237458195,0.05652173913043794,0.0,0.3177257525083612,0.0625418060200675,0.006688963210702341,0.0,0.0,0.059866220735786235,0.08963210702341186,0.026755852842809364,0.0,0.07491638795986609,0.25418060200668896,0.026755852842809364,0.05351170568561616,0.46308724832214765,0.05953177257525154,0.05351170568561873,0.020066889632107024,0.07123745819397942
fra,0.03678929765886288,0.054849498327756936,0.06591973244147162,0.26755852842809363,0.0,0.14583892617449667,0.0,0.12040133779264214,0.016438127090301003,0.0,0.10702341137123746,0.13377926421404682,0.22408026755852842,0.05652173913043458,0.09397993311036784,0.06488294314381325,0.006688963210702341,0.49498327759197325,0.033143812709030024,0.3277591973244147,0.05016722408026756,0.0,0.07023411371237458,0.013377926421404682,0.10033444816053512,0.023411371237458192,0.04013377926421405,0.1692307692307704,0.10033444816053512
hnl,0.04347826086956446,0.0,0.33444816053511706,0.013377926421404682,0.006688963210702341,0.16722408026755853,0.20735785953177258,0.059866220735789344,0.006688963210702341,0.010882943143812709,0.020066889632107024,0.35785953177257523,0.052173913043479,0.05351170568561873,0.013377926421404682,0.0,0.020066889632107024,0.013377926421404682,0.0,0.0,0.07491638795986585,0.026755852842809364,0.033444816053511704,0.054849498327759406,0.5652173913043478,0.06421404682274329,0.1939799331103679,0.06020066889632107,0.0
