ams	046379a6-c175-47ce-96aa-8ca9dd889365	199.247.28.70	vc2-1c-1gb	confirmed
atl	50495cf2-224f-47fc-bdd6-9067372eec6e	96.30.195.227	vc2-1c-1gb	confirmed
blr	2739ef8c-ddd8-4929-b189-b482559ac3ae	139.84.147.241	vc2-1c-1gb	confirmed
ord	f5c6cce7-0c09-47bd-93a4-2d90f8c2580f	64.177.11.74	vc2-1c-1gb	confirmed
dfw	123e1359-d773-40f7-b172-0664a08d931c	149.28.251.220	vc2-1c-1gb	confirmed
del	060650ef-3749-47da-abf9-c4379a174957	139.84.167.11	vc2-1c-1gb	confirmed
fra	0817e1d0-c912-442f-a996-9c1e0c080981	45.76.89.14	vc2-1c-1gb	confirmed
hnl	09e3b743-7097-4bb4-9e4d-842d8863d5c3	208.72.154.232	vhp-1c-1gb-intel	confirmed
jnb	79d00a6a-d909-43d0-93c0-16ae3b84879f	139.84.250.145	vc2-1c-1gb	confirmed
lhr	0e5d220b-920e-495e-8546-3b7953a2e50c	104.238.184.201	vc2-1c-1gb	confirmed
lax	b1c4bc72-5238-49b9-8462-21f6934a776e	45.77.86.141	vc2-1c-1gb	confirmed
mad	85c3ef46-8ea0-4bae-8191-9df01eef7628	208.85.20.117	vc2-1c-1gb	confirmed
man	606327c3-3a1b-498c-9693-4db7dec01a36	64.176.187.52	vc2-1c-1gb	confirmed
mel	5ae0219d-2ed8-4dc5-8eb9-c9e376db8340	139.84.205.58	vc2-1c-1gb	confirmed
mex	fddc0d3c-66c4-4f36-b95d-d670f081710b	64.177.83.211	vc2-1c-1gb	confirmed
mia	7c76613d-17ed-4597-8879-1f326233b8e7	207.246.112.207	vc2-1c-1gb	confirmed
mxp	3e3d4645-6be5-4114-b8ff-cc7e4f76cc85	66.245.203.195	voc-c-1c-2gb-25s-amd	confirmed
bom	6e41a5c1-a357-42b9-91d8-c9b648a47f5b	65.20.73.224	vc2-1c-1gb	confirmed
ewr	7af0a7e8-10d1-4947-b729-26acf746f532	149.28.225.185	vc2-1c-1gb	confirmed
itm	c8a54628-b1dc-4b96-8c42-f26561ba4403	64.176.34.191	vc2-1c-1gb	confirmed
cdg	da8d4c3a-3315-4215-8ec3-9c2e2b9417d0	95.179.210.16	vc2-1c-1gb	confirmed
scl	5e78f068-90b3-4041-9fbf-8a34f9aad5d6	64.176.20.229	vc2-1c-1gb	confirmed
ams	80658eae-9c92-4290-a8d2-fc3486643d9d	136.244.98.103	vc2-1c-1gb	confirmed
atl	30168112-1200-4a46-81ed-91813441d68a	45.76.249.212	vc2-1c-1gb	confirmed
blr	33c47abe-7a25-4977-a6ad-eb2f228bf8d2	139.84.218.107	vc2-1c-1gb	confirmed
ord	a8780b02-41fe-49ad-94df-a196bb8396b4	64.177.9.219	vc2-1c-1gb	confirmed
dfw	9387f2d8-9765-43cb-b207-4eeae7aeb11f	216.128.141.61	vc2-1c-1gb	confirmed
del	4ef74d65-4f0f-4b5b-a6a6-4d78d62d8e70	139.84.172.156	vc2-1c-1gb	confirmed
fra	5a7943c9-ab4c-42c5-9a44-e1b52a6c3850	140.82.39.86	vc2-1c-1gb	confirmed
hnl	de990a5b-92c6-4b4d-9c9e-d5495121df82	208.83.236.254	vhp-1c-1gb-intel	confirmed
jnb	294b45e5-617b-4f81-8f2e-e8edd84d16d4	139.84.234.101	vc2-1c-1gb	confirmed
lhr	4097a971-05d1-4b3f-b172-dcf4b9f61fb7	108.61.173.57	vc2-1c-1gb	confirmed
lax	84d8637a-5875-40ea-ae36-edfe6cb02f33	149.28.93.145	vc2-1c-1gb	confirmed
sao	2dd8ba06-cd25-408a-8161-4b18473cc792	216.238.113.165	vc2-1c-1gb	confirmed
sea	2a928ae6-195e-41fe-8e0a-9ab3073aafd1	66.42.79.251	vc2-1c-1gb	confirmed
icn	b1f0c7ff-5336-404b-898c-ed0db8460b7f	141.164.42.234	vc2-1c-1gb	confirmed
sjc	78e6ef2c-f7cb-485f-9b4d-7403badf303c	45.63.94.6	vc2-1c-1gb	confirmed
sgp	7c6fd4b8-93b1-465a-bef8-cbfdbfe08fe3	207.148.69.17	vc2-1c-1gb	confirmed
sto	a8a975ef-f798-4624-bd27-03e507690fdc	70.34.195.183	vc2-1c-1gb	confirmed
syd	d97f6fa8-413e-402d-b6d7-cda8e675fae0	149.28.177.115	vc2-1c-1gb	confirmed
tlv	4cbf1fa6-d023-41bf-aff8-e9f96aeec4e4	64.177.65.203	vc2-1c-1gb	confirmed
nrt	05318526-5100-4f20-a29d-3a7b8b783386	45.76.208.229	vc2-1c-1gb	confirmed
yto	aa065a22-e62f-4018-b419-e68d2bcc7b43	216.128.180.213	vc2-1c-1gb	confirmed
waw	a16d0893-01be-47d2-a1ae-e97fc1df1f7f	64.176.71.158	vc2-1c-1gb	confirmed
mad	6d77d42e-88ba-4661-ba77-53c060d0e9eb	65.20.104.16	vc2-1c-1gb	confirmed
man	5a1bba5a-4711-443e-904a-ecc7163e1bd8	64.176.179.247	vc2-1c-1gb	confirmed
mel	68062bce-e01c-4688-a52d-f97c2b9b929f	67.219.107.218	vc2-1c-1gb	confirmed
mex	465407fd-9aa5-41ae-8327-5179491907e3	216.238.88.98	vc2-1c-1gb	confirmed
