src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.02057190635451505,0.10535117056856397,0.013377926421404682,0.22742474916387959,0.23745819397993312,0.013377926421404682,0.04481605351170571,0.020066889632107024,0.026755852842809364,0.06030100334448166,0.17725752508361203,0.05016722408026701,0.04648829431438112,0.06020066889632107,0.0,0.006688963210702341,0.035117056856186685,0.0,0.12742474916388064,0.0,0.05648829431438126,0.3177257525083612,0.0,0.0,0.013377926421404682,0.07692307692307693,0.09364548494983277,0.03545150501672289,0.0,0.10805369127516681
atl,0.06688963210702588,0.014933110367892976,0.24749163879598662,0.05886287625418073,0.08494983277591991,0.006688963210702341,0.04013377926421405,0.06053511705685403,0.013377926421404682,0.07324414715718804,0.06053511705685686,0.006688963210702341,0.04013377926421405,0.020066889632107024,0.10167224080267656,0.07056856187290948,0.0,0.006688963210702341,0.12441471571906319,0.0,0.06588628762541993,0.0,0.12709030100334448,0.06521739130434526,0.033444816053511704,0.1010033444816063,0.3712374581939799,0.026755852842809364,0.006688963210702341,0.04013377926421405
blr,0.0,0.3010033444816054,0.009956521739130435,0.12040133779264214,0.026755852842809364,0.04080267558528486,0.013377926421404682,0.0,0.0,0.0802675585284281,10.909747292418773,0.3277591973244147,0.0,0.013377926421404682,0.0,0.033444816053511704,0.006688963210702341,0.08695652173913021,0.26421404682274247,0.23809523809523808,0.0,0.033444816053511704,0.15719063545150502,0.05351170568561873,0.013377926421404682,0.6421404682274248,0.22374581939799318,0.026755852842809364,10.942446043165468,0.006711409395973154
ord,0.31438127090301005,0.09230769230769277,0.043478260869565216,0.02379933110367893,0.13344481605351136,0.006688963210702341,0.0,0.06521739130434635,0.04013377926421405,0.05083612040133585,0.04046822742474962,0.0,0.06020066889632174,0.0,0.04782608695652216,0.08662207357859583,0.013377926421404682,0.006688963210702341,0.12575250836120408,0.4013377926421405,0.0709030100334443,0.0,0.0,0.0451505016722413,0.006688963210702341,0.07591973244147075,0.705685618729097,0.0,0.0,0.013422818791946308
dfw,0.2408026755852843,0.09899665551839487,0.11371237458193979,0.07625418060200642,0.011722408026755853,0.013377926421404682,0.08361204013377926,0.08193979933110619,0.19063545150501673,0.14381270903010032,0.05953177257525149,0.05351170568561873,0.046822742474916385,0.0,0.06588628762541845,0.058862876254180845,0.13377926421404682,0.013377926421404682,0.15418060200668995,0.0,0.020066889632107024,0.0,0.3277591973244147,0.04581939799331371,0.006688963210702341,0.08026755852842904,0.14715719063545152,0.06354515050167224,0.0,0.04697986577181208
del,0.0,0.0,0.07123745819398038,0.013377926421404682,0.05351170568561873,0.0074113712374581945,0.2140468227424749,0.0,0.0,0.020066889632107024,10.532142857142857,0.013377926421404682,0.0,0.0802675585284281,0.4013377926421405,0.11371237458193979,0.06354515050167224,0.04749163879598585,0.29431438127090304,0.0,0.04013377926421405,0.0,0.0,0.0,0.020066889632107024,0.0,0.16020066889632295,0.030100334448160536,10.754512635379061,0.15384615384615385
fra,0.05782608695652181,0.013377926421404682,0.0,0.020066889632107024,0.1505016722408027,0.17391304347826086,0.013605351170568563,0.006688963210702341,0.0,0.060869565217391126,0.006688963210702341,0.054515050167224716,0.07224080267558582,0.0,0.020066889632107024,0.006688963210702341,0.033946488294314466,0.013377926421404682,0.1444816053511691,0.013377926421404682,0.059799331103678875,0.14715719063545152,0.046822742474916385,0.013377926421404682,0.0,0.06020066889632107,0.5016722408026756,0.04414715719063489,0.2909698996655518,0.1414715719063553
hnl,0.013377926421404682,0.1076923076923066,0.006688963210702341,0.05852842809364501,0.06153846153846384,0.0,0.006688963210702341,0.008354515050167224,0.0,0.006688963210702341,0.04080267558528481,0.0,0.0,0.0,0.0,0.006688963210702341,0.0,0.013377926421404682,0.18394648829431437,0.0,0.0,0.3612040133779264,0.16722408026755853,0.04682274247491539,0.033444816053511704,0.06086956521739198,0.10033444816053512,0.006688963210702341,0.14046822742474915,0.06020066889632107
jnb,0.020066889632107024,0.006688963210702341,0.0,0.033444816053511704,0.1806020066889632,0.06020066889632107,0.0,0.006688963210702341,0.009244147157190635,0.0,0.0,0.013377926421404682,0.0,0.0,0.0,0.026755852842809364,0.006688963210702341,0.0,0.20735785953177258,0.34782608695652173,0.0,0.09364548494983277,0.0,0.013377926421404682,0.4180602006688963,0.026755852842809364,0.08695652173913043,0.0,0.4214046822742475,0.020066889632107024
lhr,0.04896321070234111,0.07257525083611813,0.06020066889632107,0.05351170568561806,0.20735785953177258,0.0,0.05183946488294296,0.0,0.0,0.009267558528428093,0.0,0.06120401337792705,0.13284280936454848,0.41471571906354515,0.0,0.1605351170568562,0.04314381270902968,0.0,0.17826086956521514,0.026755852842809364,0.06294314381270903,0.0,0.15384615384615385,0.0,0.020066889632107024,0.0,0.568561872909699,0.05484949832775887,0.0033444816053511705,0.1020066889632095
lax,0.1806020066889632,0.05752508361204081,10.58695652173913,0.05652173913043516,0.06688963210702407,10.530685920577618,0.006688963210702341,0.04983277591973315,0.0,0.013377926421404682,0.00802675585284281,0.0,0.0,0.0,0.06086956521738984,0.03545150501672287,0.006688963210702341,10.67605633802817,0.22140468227424798,0.3612040133779264,0.04013377926421405,0.44481605351170567,0.0,0.07190635451504951,0.11371237458193979,0.07401337792642135,0.12374581939799331,0.04013377926421405,0.14715719063545152,0.3010033444816054
mad,0.06354515050167185,0.0,0.3177257525083612,0.006688963210702341,0.0802675585284281,0.0,0.05150501672240861,0.0,0.0,0.05518394648829496,0.0,0.019866220735785953,0.04949832775919727,0.07357859531772576,0.006688963210702341,0.006688963210702341,0.030769230769230424,0.0802675585284281,0.19130434782608674,0.27424749163879597,0.06287625418060266,0.04013377926421405,0.0,0.33444816053511706,0.020066889632107024,0.27759197324414714,0.05351170568561873,0.039130434782609254,0.0,0.09431438127090326
