src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto
ams,0.017210702341137123,0.14715719063545152,0.006688963210702341,0.020134228187919462,0.0,0.07217391304347821,0.3177257525083612,0.1605351170568562,0.05046822742474923,0.4013377926421405,0.0792642140468227,0.04314381270902997,0.06020066889632107,0.0,0.6321070234113713,0.04615384615384662,0.32441471571906355,0.06020066889632107,0.0476254180602007,0.0,0.0,0.006688963210702341,0.033444816053511704,0.016722408026755852,0.04013377926421405,0.060535117056856526,0.34782608695652173,0.15451505016722314,0.033444816053511704,0.06755852842809028
blr,0.45484949832775917,0.016705685618729097,0.033444816053511704,0.05351170568561873,0.0595317725752514,0.4983277591973244,0.006688963210702341,0.013377926421404682,0.13377926421404682,13.46712802768166,0.20066889632107024,0.0802675585284281,0.013377926421404682,0.006688963210702341,0.026755852842809364,0.020066889632107024,0.036120401337792894,0.568561872909699,0.020066889632107024,0.020066889632107024,0.35451505016722407,0.15384615384615385,0.3177257525083612,0.013377926421404682,0.070568561872909,0.0802675585284281,13.724381625441696,0.0,0.04013377926421405,0.026755852842809364
ord,0.0,0.16722408026755853,0.017862876254180603,0.06889632107023386,0.0,0.25752508361204013,0.03846153846153685,0.1605351170568562,0.05250836120401572,0.05351170568561863,0.006688963210702341,0.048829431438127735,0.0,0.054515050167224806,0.26387959866220606,0.0,0.0,0.020066889632107024,0.052173913043479334,0.08695652173913043,0.08695652173913043,0.05183946488294388,0.13377926421404682,0.052173913043478196,0.25752508361204013,0.010033444816053512,0.0,0.3277591973244147,0.08695652173913043,0.08795986622073554
dfw,0.020066889632107024,0.09364548494983277,0.08294314381270863,0.010421404682274248,0.06688963210702341,0.10702341137123746,0.08093645484950047,0.3311036789297659,0.013377926421404682,0.06086956521739186,0.013377926421404682,0.013377926421404682,0.013377926421404682,0.13879598662207332,0.3043478260869566,0.006688963210702341,0.0,0.20735785953177258,0.006688963210702341,0.19732441471571907,0.0,0.07959866220735626,0.3210702341137124,0.07190635451505074,0.27424749163879597,0.0,0.0,0.030100334448160536,0.046822742474916385,0.05685618729096919
del,0.006688963210702341,0.0578595317725756,0.006688963210702341,0.040268456375838924,0.013220735785953177,0.3879598662207358,0.0,0.0,0.006688963210702341,14.03914590747331,0.006688963210702341,0.0,0.0,0.0,0.22073578595317725,0.38461538461538464,0.06287625418060237,0.23411371237458195,0.026755852842809364,0.006688963210702341,0.14046822742474915,0.04013377926421405,0.0,0.04013377926421405,0.05117056856187271,0.0,13.557894736842105,0.10702341137123746,0.3277591973244147,0.0
fra,0.13043478260869565,0.5351170568561873,0.31438127090301005,0.15384615384615385,0.431438127090301,0.014635451505016722,0.006688963210702341,0.10702341137123746,0.07491638795986608,0.10033444816053512,0.0735785953177258,0.056711409395973626,0.07357859531772576,0.020066889632107024,0.5284280936454849,0.06622073578595317,0.0,0.3377926421404682,0.05247491638795978,0.0,0.08695652173913043,0.020066889632107024,0.0,0.046822742474916385,0.006688963210702341,0.04481605351170554,0.2040133779264214,0.20167785234899244,0.10367892976588629,0.06488294314381102
hnl,0.38127090301003347,0.04013377926421405,0.04682274247491563,0.06789297658863104,0.026755852842809364,0.020066889632107024,0.00757190635451505,0.14046822742474915,0.0033444816053511705,0.03745819397993364,0.046822742474916385,0.0,0.006688963210702341,0.03612040133779287,0.0,0.0,0.10702341137123746,0.2608695652173913,0.006688963210702341,0.0,0.0,0.054180602006687596,0.26755852842809363,0.04682274247491701,0.17391304347826086,0.06688963210702341,0.0,0.04013377926421405,0.0,0.0
jnb,0.013377926421404682,0.05351170568561873,0.0,0.46153846153846156,0.006688963210702341,0.07357859531772576,0.08695652173913043,0.016160535117056857,0.0,0.006688963210702341,0.0,0.24749163879598662,0.08695652173913043,0.013377926421404682,0.31438127090301005,0.0,0.006688963210702341,0.431438127090301,0.033444816053511704,0.0,0.11371237458193979,0.05351170568561873,0.09364548494983277,0.020066889632107024,0.0802675585284281,0.0,0.12709030100334448,0.3210702341137124,0.06020066889632107,0.4214046822742475
lhr,0.04628762541806023,0.15384615384615385,0.053177257525085245,0.013377926421404682,0.10033444816053512,0.09364548494983262,0.006688963210702341,0.0,0.01039799331103679,0.17391304347826086,0.09397993311036837,0.08200668896321066,0.13043478260869565,0.10702341137123746,0.2976588628762542,0.043812709030100816,0.033444816053511704,0.12709030100334448,0.06729096989966554,0.06688963210702341,0.013377926421404682,0.07357859531772576,0.11371237458193979,0.006688963210702341,0.020066889632107024,0.0628762541806017,0.026755852842809364,0.15719063545150594,0.09364548494983277,0.08026755852843
lax,0.3210702341137124,13.630281690140846,0.04615384615384574,0.058193979933111054,13.679577464788732,0.05351170568561873,0.04080267558528486,0.006688963210702341,0.2140468227424749,0.012652173913043479,0.013377926421404682,0.013377926421404682,0.0,0.05150501672240619,0.06521739130434862,0.3779264214046823,14.115523465703971,0.0,0.013377926421404682,0.28762541806020064,0.15384615384615385,0.07056856187290961,0.016722408026755852,0.05163879598662212,0.07357859531772576,0.056856187290969896,0.29431438127090304,0.046822742474916385,0.04648829431438324,0.06755852842809598
