src,itm,waw,sto,mel,atl,ewr
itm,0.015785953177257527,0.13377926421404682,0.29431438127090304,0.17391304347826086,0.06688963210702341,0.6722408026755853
waw,0.11371237458193979,0.009698996655518394,0.028093645484949935,0.0,0.013468013468013467,0.6454849498327759
sto,0.17391304347826086,0.025418060200669116,0.010555183946488295,0.026755852842809364,0.22073578595317725,0.38127090301003347
mel,0.3076923076923077,0.0,0.013377926421404682,0.01414715719063545,0.013377926421404682,0.13377926421404682
atl,0.3210702341137124,0.020134228187919462,0.2939189189189189,0.020066889632107024,0.032809364548494986,0.6862876254180601
ewr,0.33444816053511706,0.4882943143812709,0.49498327759197325,0.23411371237458195,0.2220735785953176,0.1652140468227425
