src,ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto
ams,0.03901333333333333,96.11,244.10333333333332,130.03,9.49247491638796,148.17333333333335,116.04,80.76933333333334,6.618033333333333,180.34333333333333,275.53333333333336,231.03333333333333,173.91333333333333,134.02666666666667,6.593233333333333,31.737,14.467333333333334,287.03,159.07666666666665,107.05,28.252666666666666,236.48666666666668,107.02333333333333,188.06,198.09666666666666,150.04333333333332,168.07,145.96333333333334,25.058333333333334,276.14,62.690333333333335,20.505333333333333,95.1551839464883
atl,96.095,0.09139333333333333,253.03,243.00666666666666,91.928,264.03333333333336,16.022333333333332,21.19633333333333,101.18333333333334,98.779,180.93333333333334,167.18333333333334,276.49,48.39066666666667,90.015,117.44666666666667,108.00666666666666,202.01,49.94733333333333,12.989,120.99333333333334,147.00333333333333,33.517,123.01333333333334,114.08333333333333,74.531,236.67,60.971333333333334,117.17845117845118,191.03,167.99666666666667,124.01003344481606,42.99666666666667
blr,244.10333333333332,253.02666666666667,0.036923333333333336,15.728,287.09,38.63733333333334,273.03333333333336,260.0,247.89,302.0,121.0,114.46333333333334,302.0466666666667,246.4561403508772,240.00666666666666,150.45,185.14666666666668,187.00666666666666,290.02666666666664,267.00666666666666,140.03666666666666,113.15,243.00666666666666,310.13666666666666,315.0,232.92333333333335,39.323,227.0,326.04,273.9148936170213,247.13666666666666,190.00666666666666,270.0
bom,130.07666666666665,243.03333333333333,15.732333333333333,0.02526,165.07333333333332,23.587,260.00333333333333,245.0,131.01666666666668,287.0233333333333,120.00333333333333,137.31772575250835,282.0,263.5412186379928,115.18,128.0,169.00333333333333,185.16666666666666,274.0,259.01666666666665,121.0,135.0,236.8,262.12,301.03333333333336,238.0,59.378,239.7,181.0,284.773851590106,229.06,188.92,246.23
cdg,9.4769,91.93233333333333,287.11333333333334,165.13,0.04114,193.66666666666666,114.92976588628763,72.22966666666666,9.9512,175.13333333333333,267.9933110367893,233.80333333333334,165.11,129.09698996655518,7.690666666666667,22.995666666666665,14.254,282.00666666666666,150.03666666666666,106.02666666666667,17.314333333333334,239.0,97.93066666666667,183.00666666666666,214.00333333333333,137.0,153.46666666666667,138.00333333333333,25.608333333333334,272.4266666666667,51.936,26.85333333333333,90.71033333333334
del,148.16333333333333,263.99,38.60766666666667,23.569333333333333,193.62,0.035603333333333334,292.00333333333333,272.01666666666665,155.99666666666667,310.0,141.00666666666666,153.11666666666667,304.62666666666667,278.06315789473683,143.0,154.97666666666666,193.11666666666667,206.0,297.0,280.75,146.03666666666666,142.01333333333332,258.03333333333336,290.02,320.0466666666667,264.0,68.781,254.00333333333333,218.0,313.03484320557493,252.01,213.05333333333334,278.0
dfw,116.06333333333333,16.049,273.0233333333333,260.0566666666667,114.95,292.0,0.033196666666666666,37.916333333333334,122.11666666666666,84.36633333333333,165.0,147.10333333333332,292.2966666666667,32.925333333333334,113.00333333333333,144.0,116.0,181.00666666666666,28.576,28.037666666666667,135.01333333333332,136.0,21.90233333333333,147.16,130.01333333333332,64.45733333333334,189.30434782608697,47.913,139.0,167.04333333333332,174.99,151.2,30.191333333333333
ewr,80.77433333333333,20.893,260.01,245.0,72.23433333333334,272.0366666666667,37.928,0.23741,82.563,106.0,181.0,167.89333333333335,251.0,58.120000000000005,72.36833333333334,91.26,82.33433333333333,200.94333333333333,65.44500000000001,32.803,92.43900000000001,147.59333333333333,18.588,108.0,122.00333333333333,57.201,233.05,67.335,101.43,201.00666666666666,139.01333333333332,103.29666666666667,20.134333333333334
fra,6.6433333333333335,101.16,247.85,131.0,9.952709030100335,156.0,122.07,82.54633333333334,0.04115,183.0,272.06,238.48,195.06666666666666,138.12666666666667,10.905666666666667,30.92533333333333,21.995666666666665,292.0366666666667,149.00333333333333,113.51666666666667,9.466066666666666,243.35666666666665,105.63,193.0,198.09333333333333,145.99333333333334,153.05,146.47333333333333,17.795666666666666,281.02,55.54366666666667,17.905666666666665,100.05666666666667
hnl,180.38666666666666,98.76033333333334,302.00666666666666,287.00333333333333,175.12333333333333,310.10333333333335,84.357,106.0,183.00333333333333,0.030896666666666666,183.01,152.0,353.53333333333336,54.458666666666666,175.02666666666667,190.00666666666666,180.0,199.00333333333333,106.01666666666667,112.00666666666666,192.0,150.0,89.77833333333334,216.01333333333332,191.01666666666668,65.09766666666667,222.67333333333335,47.583666666666666,197.03333333333333,187.21,250.03,197.01,101.0
