src,ams,atl,blr,ord,dfw,del,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.01088628762541806,0.06521739130434968,0.0,0.006688963210702341,0.4180602006688963,0.0,0.0802675585284281,0.0802675585284281,0.06515050167224072,0.4280936454849498,0.04715719063545132,0.04080267558528414,0.006688963210702341,0.20735785953177258,0.0,0.04715719063545213,0.026755852842809364,0.15351170568561656,0.10702341137123746,0.04729096989966567,0.013377926421404682,0.0802675585284281,0.020066889632107024,0.06354515050167224,0.006688963210702341,0.006688963210702341,0.03612040133779313,0.010033444816053512,0.11538461538461382
atl,0.05384615384615378,0.022993311036789296,0.12040133779264214,0.048160535117057375,0.034448160535117324,0.006688963210702341,0.03846153846153685,0.020066889632107024,0.08060200668896367,1.1287625418060203,0.32441471571906355,0.06321070234113643,0.026755852842809364,0.04581939799331164,0.0421404682274246,0.026755852842809364,0.2508361204013378,0.1424749163879599,0.06688963210702341,0.04247491638795755,0.0,0.0,0.05083612040133994,0.026755852842809364,0.07090301003344568,0.020066889632107024,0.2909698996655518,0.006688963210702341,0.3745819397993311
blr,0.0,0.11371237458193979,0.017451505016722407,0.0,0.13377926421404682,0.16387959866220808,0.006688963210702341,0.0,0.010033444816053512,9.992957746478874,0.046822742474916385,0.1505016722408027,0.0,0.013377926421404682,0.0,0.006688963210702341,0.04448160535117,0.25418060200668896,0.3612040133779264,0.033444816053511704,0.0,0.23411371237458195,0.026755852842809364,0.1605351170568562,0.5117056856187291,0.21170568561872727,0.10033444816053512,9.68705035971223,0.49498327759197325
ord,0.006688963210702341,0.08494983277592015,0.0,0.010826086956521739,0.047826086956522136,0.020066889632107024,0.028762541806021093,0.010033444816053512,0.06956521739130449,0.03545150501672272,0.18394648829431437,0.04481605351170366,0.0,0.04682274247491705,0.044816053511706325,0.033444816053511704,0.0,0.0859531772575254,0.0,0.0331103678929776,0.0,0.22073578595317725,0.07090301003344492,0.006688963210702341,0.06822742474916381,0.013377926421404682,0.033444816053511704,0.0,0.412751677852349
dfw,0.35785953177257523,0.046488294314381576,0.11371237458193979,0.03645484949832804,0.00839799331103679,0.0,0.031103678929767207,0.10033444816053512,0.22408026755852842,0.1909698996655525,0.0,0.043478260869565216,0.0,0.046153846153846594,0.04782608695652219,0.0,0.033444816053511704,0.1307692307692315,0.033444816053511704,0.23745819397993312,0.04013377926421405,0.4414715719063545,0.06755852842809437,0.13377926421404682,0.10100334448160607,0.42424242424242425,0.06688963210702341,0.013377926421404682,0.0802675585284281
del,0.0,0.013377926421404682,0.04280936454849559,0.013377926421404682,0.0,0.010250836120401337,0.006688963210702341,0.04013377926421405,0.006688963210702341,10.540145985401459,0.0,0.013377926421404682,0.0,0.0,0.0,0.0,0.04448160535117069,0.020134228187919462,0.06020066889632107,0.03678929765886288,0.07692307692307693,0.14715719063545152,0.04013377926421405,0.006688963210702341,0.0,0.10100334448160636,0.006688963210702341,9.762589928057555,0.43478260869565216
hnl,0.08361204013377926,0.05551839464882789,0.04013377926421405,0.03377926421404889,0.04046822742474929,0.0,0.007187290969899666,0.07357859531772576,0.0,1.2555183946488302,0.0,0.04013377926421405,0.020066889632107024,0.07357859531772576,0.0,0.0,0.0,0.06688963210702341,0.0,0.0,0.013377926421404682,0.1939799331103679,0.0742474916387939,0.06020066889632107,0.06789297658862954,0.3511705685618729,0.0,0.026755852842809364,0.07357859531772576
jnb,0.07357859531772576,0.020066889632107024,0.0,0.016722408026755852,0.1806020066889632,0.006688963210702341,0.08361204013377926,0.010622073578595318,0.0,0.7023411371237458,0.04013377926421405,0.0,0.0,0.013377926421404682,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.11371237458193979,0.3010033444816054,0.18729096989966554,0.020066889632107024,0.16722408026755853,0.43812709030100333,0.026755852842809364,0.020066889632107024,0.04013377926421405,0.013377926421404682,0.026755852842809364,0.07357859531772576
lhr,0.05364548494983276,0.05050167224080313,0.010033444816053512,0.057859531772576286,0.15384615384615385,0.013377926421404682,0.0,0.013377926421404682,0.010367892976588628,0.8093645484949833,0.06989966555184031,0.054882943143812715,0.45484949832775917,0.0,0.0,0.04581939799331018,0.0,0.12675585284281196,0.1705685618729097,0.053712374581939754,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.0,0.14381270903010032,0.31438127090301005,0.05852842809364459,0.43478260869565216,0.14832214765100774
lax,0.2608695652173913,0.9899665551839465,10.301418439716311,1.076254180602007,0.10401337792642212,10.02135231316726,1.1304347826086962,0.4414715719063545,0.006688963210702341,0.01585953177257525,0.45484949832775917,0.19732441471571907,0.10033444816053512,1.1531772575250818,1.064214046822743,0.09364548494983277,9.390070921985815,0.18428093645484994,0.05351170568561873,0.06020066889632107,0.026755852842809364,0.13377926421404682,0.12341137123745836,0.033444816053511704,0.08304347826086954,0.411371237458194,0.3979933110367893,0.06020066889632107,0.0802675585284281
