src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
ams,0.016839464882943144,0.06020066889632107,0.006688963210702341,0.03678929765886288,0.020066889632107024,0.07478260869565216,0.6020066889632107,0.3311036789297659,0.08260869565217388,0.13043478260869565,0.05050167224080273,0.0561872909698995,0.7290969899665551,0.013377926421404682,0.006688963210702341,0.054180602006689636,0.06020066889632107,0.05913043478260858,0.013377926421404682,0.7224080267558528,0.026755852842809364,0.14046822742474915,0.016722408026755852,0.2508361204013378,0.09966555183946538,0.08695652173913043,0.2458193979933123,0.030100334448160536,0.6755852842809349,0.057525083612040596
blr,0.006688963210702341,0.019013377926421406,0.13377926421404682,0.0802675585284281,0.07993311036789295,0.09364548494983277,0.05351170568561873,0.046822742474916385,0.013377926421404682,14.136200716845877,0.0,0.23411371237458195,0.0802675585284281,0.026755852842809364,0.020066889632107024,0.006688963210702341,0.08026755852842853,0.013377926421404682,0.0,0.2140468227424749,0.0,0.0,0.411371237458194,0.07458193979933145,0.1505016722408027,14.208480565371024,0.13377926421404682,0.08695652173913043,0.006688963210702341,0.013377926421404682
ord,0.043478260869565216,0.10702341137123746,0.02082274247491639,0.049163879598662585,0.0,0.020066889632107024,0.04448160535117108,0.0,0.05183946488294618,0.04180602006689013,0.0,0.0,0.06688963210702341,0.27224080267558604,0.04648829431437958,0.0,0.13377926421404682,0.08595317725752258,0.0,0.0,0.0367892976588634,0.033444816053511704,0.06655518394648777,0.013377926421404682,0.20735785953177258,0.006688963210702341,0.1806020066889632,0.14715719063545152,0.06655518394648807,0.0
dfw,0.006688963210702341,0.0,0.05016722408026775,0.008906354515050167,0.24749163879598662,0.1605351170568562,0.03612040133779548,0.2608695652173913,0.013377926421404682,0.04983277591973315,0.006688963210702341,0.0,0.05351170568561873,0.042809364548494974,0.054515050167224584,0.006688963210702341,0.006688963210702341,0.4080267558528428,0.2408026755852843,0.0,0.03076923076923216,0.013377926421404682,0.05451505016722476,0.2751677852348993,0.0,0.0,0.2809364548494983,0.010033444816053512,0.05953177257525009,0.2842809364548495
del,0.06688963210702341,0.05451505016722457,0.0,0.1939799331103679,0.014508361204013378,0.0,0.0,0.026755852842809364,0.0,13.578397212543553,0.04013377926421405,0.006688963210702341,0.0,0.013377926421404682,0.07357859531772576,0.0,0.04515050167224111,0.0,0.006688963210702341,0.0,0.0,0.0,0.0,0.07859531772575379,0.043478260869565216,14.279151943462898,0.033444816053511704,0.0,0.006688963210702341,0.10702341137123746
fra,0.12779264214046826,0.06020066889632107,0.013377926421404682,0.08361204013377926,0.006688963210702341,0.008411371237458195,0.0,0.4013377926421405,0.0484949832775918,0.026755852842809364,0.0535117056856193,0.04481605351170621,0.0802675585284281,0.0,0.3779264214046823,0.03872909698996669,0.0,0.05792642140468215,0.006688963210702341,0.0,0.18729096989966554,0.07357859531772576,0.006688963210702341,0.4280936454849498,0.04046822742474854,0.14046822742474915,0.21571906354514916,0.026755852842809364,0.005351170568561569,0.04849498327759198
hnl,0.903010033444816,0.0,0.03377926421404737,0.06387959866220977,0.0,0.0,0.007933110367892977,0.006688963210702341,0.013377926421404682,0.05618729096990032,0.0,0.0,0.0,0.04180602006688883,0.0,0.0,0.006688963210702341,0.026755852842809364,0.20066889632107024,0.006688963210702341,0.03478260869565058,0.006688963210702341,0.0695652173913051,0.27759197324414714,0.0,0.0,0.06688963210702341,0.0,0.013377926421404682,0.020066889632107024
jnb,0.39464882943143814,0.06688963210702341,0.0,0.20735785953177258,0.013377926421404682,0.4882943143812709,0.0,0.018391304347826088,0.006688963210702341,0.006688963210702341,0.0,0.020066889632107024,0.09364548494983277,0.3979933110367893,0.0,0.0,0.04013377926421405,0.026755852842809364,0.0,0.2508361204013378,0.013377926421404682,0.0,0.006688963210702341,0.006688963210702341,0.046822742474916385,0.07357859531772576,0.06688963210702341,0.0,0.026755852842809364,0.0
lhr,0.05732441471571902,0.013377926421404682,0.04749163879598744,0.013377926421404682,0.0,0.048829431438126916,0.046822742474916385,0.11371237458193979,0.011267558528428093,0.06020066889632107,0.05418060200668885,0.044782608695652114,0.22408026755852842,0.0,0.14046822742474915,0.048829431438127686,0.0,0.05431438127090297,0.0,0.36789297658862874,0.056856187290969896,0.3311036789297659,0.0,0.0,0.04715719063545172,0.10702341137123746,0.16354515050167204,0.0,0.07257525083611865,0.054849498327758504
lax,0.13712374581939799,13.72791519434629,0.05652173913043497,0.05384615384615461,13.589473684210526,0.10033444816053512,0.04180602006689023,0.0,0.0802675585284281,0.015290969899665552,0.0,0.10367892976588629,0.06688963210702341,0.04280936454849464,0.04782608695652242,0.0,13.795847750865052,0.10033444816053512,0.10033444816053512,0.2408026755852843,0.05418060200668875,0.020066889632107024,0.0759531772575251,0.18181818181818182,0.3779264214046823,0.11705685618729098,0.22073578595317725,0.013377926421404682,0.302341137123746,0.4214046822742475
mad,0.0709030100334448,0.0,0.0,0.0,0.013377926421404682,0.038795986622073585,0.0,0.0,0.060200668896321044,0.020066889632107024,0.012,0.06722408026755687,0.0,0.4280936454849498,0.033444816053511704,0.034782608695652646,0.11371237458193979,0.048494983277591365,0.0,0.2140468227424749,0.0,0.0,0.411371237458194,0.020066889632107024,0.04983277591973301,0.0,0.1565217391304347,0.006688963210702341,0.0,0.055518394648829884
man,0.09933110367892961,0.26421404682274247,0.026755852842809364,0.0,0.013377926421404682,0.033110367892976986,0.0,0.013377926421404682,0.03983277591973239,0.1605351170568562,0.040133779264213715,0.006190635451505017,0.006688963210702341,0.0,0.0,0.04715719063545062,0.0,0.059197324414716194,0.0,0.0,0.0,0.0,0.0,0.033444816053511704,0.05150501672240871,0.0,0.2792642140468225,0.0,0.056521739130433755,0.05384615384615145
mel,0.41471571906354515,0.12709030100334448,0.08695652173913043,0.0802675585284281,0.026755852842809364,0.09698996655518395,0.0,0.09698996655518395,0.20735785953177258,0.07357859531772576,0.0,0.006688963210702341,0.012290969899665553,0.06020066889632107,0.2040133779264214,0.1605351170568562,0.1939799331103679,0.06688963210702341,0.12040133779264214,0.07357859531772576,0.10702341137123746,0.10702341137123746,0.0802675585284281,0.04013377926421405,0.30434782608695654,0.1247491638795989,0.026755852842809364,0.3779264214046823,0.09364548494983277,0.0033444816053511705
mex,0.0,0.04013377926421405,0.4795986622073586,0.044816053511705846,0.013377926421404682,0.0,0.052173913043477196,0.26755852842809363,0.0,0.05183946488294298,0.36454849498327757,0.0,0.07357859531772576,0.010822742474916387,0.056521739130437704,0.36789297658862874,0.0,0.013377926421404682,0.08695652173913043,0.0,0.0404682274247481,0.0,0.06789297658862958,0.0,0.0,0.4180602006688963,0.12040133779264214,0.020066889632107024,0.04782608695652237,0.0802675585284281
mia,0.033444816053511704,0.0,0.04715719063544958,0.03779264214046854,0.006688963210702341,0.46488294314381273,0.0,0.0,0.10033444816053512,0.043143812709030616,0.0,0.0,0.14715719063545152,0.05317725752508644,0.010966555183946488,0.0,0.0,0.0033444816053511705,0.31438127090301005,0.0,0.04682274247491948,0.0,0.06254180602006604,0.0,0.23411371237458195,0.33444816053511706,0.08695652173913043,0.0,0.05585284280936525,0.006688963210702341
