src,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
ams,0.014923076923076923,0.04013377926421405,0.013377926421404682,0.11993311036789293,0.0,0.5752508361204013,0.0536454849498328,0.2508361204013378,0.07357859531772576,0.43478260869565216,0.46488294314381273,0.05632107023411365,0.08729096989966492,0.047157190635451346,0.3712374581939799,0.3277591973244147,0.22408026755852842,0.04615384615384667,0.5618729096989966,0.020066889632107024,0.013377926421404682,0.006688963210702341,0.0,0.0,0.04013377926421405,0.06020066889632107,0.1153846153846164,0.06454849498327911
blr,0.17391304347826086,0.015678929765886286,0.10066889632107028,0.10033444816053512,0.05183946488294321,0.013377926421404682,0.20066889632107024,0.3076923076923077,0.12709030100334448,0.013377926421404682,11.961672473867596,0.14046822742474915,0.17391304347826086,0.033444816053511704,0.09364548494983277,0.020066889632107024,0.10033444816053512,0.14715719063545152,0.033444816053511704,0.06020066889632107,0.006688963210702341,0.006688963210702341,0.06020066889632107,0.09632107023411411,0.30434782608695654,12.23021582733813,0.08695652173913043,0.020066889632107024
bom,0.04013377926421405,0.07892976588628761,0.01623411371237458,0.4180602006688963,0.07792642140468153,0.033444816053511704,0.033444816053511704,0.0,0.0,0.04013377926421405,12.306049822064058,0.4214046822742475,0.006688963210702341,0.0,0.0,0.0,0.026755852842809364,0.0,0.0,0.013377926421404682,0.07357859531772576,0.05351170568561873,0.0,0.04949832775919632,0.04013377926421405,12.458181818181819,0.013377926421404682,0.0
cdg,0.11177257525083611,0.05351170568561873,0.24414715719063546,0.01599665551839465,0.05351170568561873,0.06688963210702341,0.09257525083612032,0.11371237458193979,0.22073578595317725,0.087248322147651,0.13377926421404682,0.10277591973244149,0.10969899665551851,0.10769230769230823,0.07046979865771812,0.10033444816053512,0.20735785953177258,0.10568561872909725,0.11371237458193979,0.14448160535116872,0.04013377926421405,0.10033444816053512,0.0802675585284281,0.053691275167785234,0.087248322147651,0.0802675585284281,0.14597315436241573,0.14949832775919877
del,0.0,0.12842809364548535,0.043478260869564814,0.04013377926421405,0.008565217391304348,0.0,0.0,0.05016722408026756,0.026755852842809364,0.006688963210702341,12.320143884892087,0.0,0.020066889632107024,0.013377926421404682,0.020066889632107024,0.09364548494983277,0.020066889632107024,0.013377926421404682,0.020066889632107024,0.1505016722408027,0.07692307692307693,0.15719063545150502,0.12040133779264214,0.05418060200668945,0.033444816053511704,11.825174825174825,0.0,0.020066889632107024
dfw,0.5886287625418061,0.0,0.013377926421404682,0.06020066889632107,0.0,0.014046822742474917,0.25418060200668896,0.047826086956519784,0.013377926421404682,0.16722408026755853,0.04113712374581998,0.006688963210702341,0.0,0.006688963210702341,0.06020066889632107,0.05953177257525054,0.1070234113712376,0.0,0.0,0.0541806020066885,0.013377926421404682,0.0,0.04816053511705906,0.5886287625418061,0.050167224080268226,0.0,0.020066889632107024,0.06287625418060146
fra,0.05675585284280938,0.1605351170568562,0.04013377926421405,0.13923076923076919,0.0,0.2408026755852843,0.011110367892976588,0.013377926421404682,0.14715719063545152,0.013377926421404682,0.12040133779264214,0.06153846153846138,0.06856187290969949,0.05719063545150513,0.3712374581939799,0.0,0.12709030100334448,0.03709030100334461,0.0802675585284281,0.016722408026755852,0.30434782608695654,0.0,0.0802675585284281,0.0,0.2709030100334448,0.2140468227424749,0.21337792642140377,0.07424749163879832
hnl,0.35451505016722407,0.28762541806020064,0.0,0.1505016722408027,0.006688963210702341,0.037458193979932886,0.006688963210702341,0.012260869565217391,0.22408026755852842,0.013377926421404682,0.03612040133779316,0.026755852842809364,0.013377926421404682,0.0,0.006688963210702341,0.0,0.033444816053511704,0.0,0.0,0.057859531772574385,0.08695652173913043,0.0,0.05484949832776188,0.0,0.055183946488295006,0.026755852842809364,0.10033444816053512,0.0
icn,0.07357859531772576,0.020066889632107024,0.0,0.33444816053511706,0.033444816053511704,0.006688963210702341,0.16722408026755853,0.3311036789297659,0.014662207357859532,0.026755852842809364,0.0,0.08695652173913043,0.013377926421404682,0.0,0.0,0.0,0.04013377926421405,0.2909698996655518,0.053511705685618256,0.013377926421404682,0.14381270903010032,0.05351170568561873,0.0,0.2140468227424749,0.006688963210702341,0.006688963210702341,0.0,0.0
jnb,0.41471571906354515,0.046822742474916385,0.06688963210702341,0.10033444816053512,0.0,0.21739130434782608,0.0,0.033444816053511704,0.0,0.01554180602006689,0.006688963210702341,0.0,0.0,0.013377926421404682,0.046822742474916385,0.16722408026755853,0.14046822742474915,0.0,0.0,0.27424749163879597,0.2140468227424749,0.0033444816053511705,0.013377926421404682,0.0,0.020066889632107024,0.046822742474916385,0.0802675585284281,0.0
